n,time
1,1e-06
2,1e-06
3,0
4,1e-06
5,2e-06
6,2e-06
7,2e-06
8,3e-06
9,3e-06
10,3e-06
11,3e-06
12,4e-06
13,4e-06
14,4e-06
15,5e-06
16,5e-06
17,6e-06
18,6e-06
19,6e-06
20,6e-06
21,6e-06
22,8e-06
23,8e-06
24,8e-06
25,8e-06
26,8e-06
27,8e-06
28,9e-06
29,1.1e-05
30,9e-06
31,1e-05
32,1.1e-05
33,1.1e-05
34,1.2e-05
35,1.3e-05
36,1.3e-05
37,1.3e-05
38,1.2e-05
39,1.3e-05
40,1.3e-05
41,1.4e-05
42,1.5e-05
43,1.6e-05
44,1.5e-05
45,1.5e-05
46,1.4e-05
47,1.6e-05
48,1.7e-05
49,1.7e-05
50,1.7e-05
51,1.6e-05
52,1.8e-05
53,1.7e-05
54,1.9e-05
55,1.9e-05
56,2e-05
57,1.9e-05
58,2e-05
59,1.6e-05
60,1.7e-05
61,1.7e-05
62,1.8e-05
63,1.9e-05
64,2e-05
65,2e-05
66,1.9e-05
67,2.7e-05
68,1.9e-05
69,2.1e-05
70,2e-05
71,2e-05
72,2.2e-05
73,2.1e-05
74,2.2e-05
75,2.2e-05
76,2.1e-05
77,2.2e-05
78,2.2e-05
79,2.4e-05
80,2.4e-05
81,2.4e-05
82,2.4e-05
83,2.5e-05
84,2.4e-05
85,2.4e-05
86,2.4e-05
87,2.5e-05
88,2.6e-05
89,2.6e-05
90,2.7e-05
91,2.8e-05
92,2.6e-05
93,2.9e-05
94,2.8e-05
95,2.9e-05
96,2.9e-05
97,2.8e-05
98,2.8e-05
99,2.8e-05
100,3e-05
101,3e-05
102,3e-05
103,3.7e-05
104,3.1e-05
105,3.2e-05
106,3.2e-05
107,3.2e-05
108,3.3e-05
109,3.3e-05
110,3.3e-05
111,3.5e-05
112,3.4e-05
113,3.5e-05
114,3.4e-05
115,3.4e-05
116,3.5e-05
117,3.5e-05
118,3.5e-05
119,3.6e-05
120,3.6e-05
121,3.6e-05
122,3.6e-05
123,3.8e-05
124,3.8e-05
125,3.8e-05
126,3.9e-05
127,3.8e-05
128,3.9e-05
129,4.4e-05
130,4e-05
131,4.1e-05
132,4.1e-05
133,4.1e-05
134,4.2e-05
135,4.2e-05
136,4.3e-05
137,4.2e-05
138,4.2e-05
139,4.4e-05
140,4.5e-05
141,4.5e-05
142,4.4e-05
143,4.5e-05
144,4.5e-05
145,4.5e-05
146,4.5e-05
147,4.8e-05
148,5.5e-05
149,4.8e-05
150,5.2e-05
151,4.6e-05
152,4.8e-05
153,4.7e-05
154,4.9e-05
155,4.8e-05
156,4.9e-05
157,4.9e-05
158,5e-05
159,5.1e-05
160,5.3e-05
161,5.2e-05
162,5.1e-05
163,5.2e-05
164,5e-05
165,5.2e-05
166,5.4e-05
167,5.2e-05
168,6.1e-05
169,5.3e-05
170,5.5e-05
171,5.4e-05
172,5.4e-05
173,5.7e-05
174,5.4e-05
175,5.7e-05
176,5.6e-05
177,5.6e-05
178,5.6e-05
179,5.6e-05
180,5.9e-05
181,5.8e-05
182,5.7e-05
183,5.7e-05
184,5.8e-05
185,9.3e-05
186,6.8e-05
187,6.9e-05
188,6.9e-05
189,7e-05
190,6.9e-05
191,7.2e-05
192,7.1e-05
193,7.3e-05
194,7.5e-05
195,7.3e-05
196,6.3e-05
197,6.1e-05
198,6.5e-05
199,6.2e-05
200,6.2e-05
201,6.2e-05
202,6.3e-05
203,6.5e-05
204,6.2e-05
205,6.3e-05
206,6.4e-05
207,6.5e-05
208,6.4e-05
209,6.9e-05
210,6.6e-05
211,6.6e-05
212,6.7e-05
213,9.4e-05
214,6.8e-05
215,6.7e-05
216,7.1e-05
217,7e-05
218,7e-05
219,7.1e-05
220,7.1e-05
221,7e-05
222,7.3e-05
223,7.1e-05
224,7.3e-05
225,7.2e-05
226,0.000134
227,7.2e-05
228,7.1e-05
229,7.2e-05
230,7.1e-05
231,7e-05
232,7.3e-05
233,7.3e-05
234,7.5e-05
235,7.7e-05
236,7.8e-05
237,7.6e-05
238,7.7e-05
239,7.6e-05
240,7.5e-05
241,8e-05
242,7.9e-05
243,7.7e-05
244,7.8e-05
245,7.9e-05
246,8e-05
247,8.2e-05
248,8.1e-05
249,8.2e-05
250,8.2e-05
251,8.2e-05
252,8.2e-05
253,8.1e-05
254,8.3e-05
255,8.2e-05
256,8.3e-05
257,8.2e-05
258,8.8e-05
259,8.4e-05
260,8.1e-05
261,8.8e-05
262,8.5e-05
263,8.4e-05
264,8.4e-05
265,8.6e-05
266,8.7e-05
267,8.4e-05
268,8.1e-05
269,8.5e-05
270,8.6e-05
271,8.8e-05
272,8.8e-05
273,8.6e-05
274,8.8e-05
275,8.9e-05
276,8.9e-05
277,8.8e-05
278,8.8e-05
279,8.7e-05
280,9.3e-05
281,9.2e-05
282,9.8e-05
283,9.5e-05
284,9.3e-05
285,9.2e-05
286,9.1e-05
287,9.4e-05
288,9.5e-05
289,9.3e-05
290,9.5e-05
291,9.6e-05
292,9.6e-05
293,9.8e-05
294,9.3e-05
295,9.5e-05
296,9.9e-05
297,9.6e-05
298,9.5e-05
299,0.0001
300,0.000101
301,0.000103
302,0.000105
303,0.000103
304,0.000101
305,0.0001
306,9.9e-05
307,0.000102
308,0.000102
309,0.000102
310,0.000105
311,0.000103
312,0.000102
313,0.000105
314,0.000104
315,0.000102
316,0.000107
