n,time
1,0
2,1e-06
3,1e-06
4,1e-06
5,1e-06
6,1e-06
7,2e-06
8,2e-06
9,2e-06
10,3e-06
11,3e-06
12,3e-06
13,4e-06
14,4e-06
15,5e-06
16,5e-06
17,6e-06
18,6e-06
19,7e-06
20,6e-06
21,7e-06
22,6e-06
23,7e-06
24,8e-06
25,8e-06
26,8e-06
27,8e-06
28,9e-06
29,9e-06
30,9e-06
31,1e-05
32,1.1e-05
33,1.1e-05
34,1.1e-05
35,1.1e-05
36,1.2e-05
37,1.2e-05
38,1.1e-05
39,1.3e-05
40,1.2e-05
41,1.3e-05
42,1.4e-05
43,1.4e-05
44,1.4e-05
45,1.5e-05
46,1.5e-05
47,1.6e-05
48,1.5e-05
49,1.6e-05
50,1.8e-05
51,1.7e-05
52,1.8e-05
53,1.8e-05
54,1.8e-05
55,1.8e-05
56,1.9e-05
57,2e-05
58,2e-05
59,1.7e-05
60,1.6e-05
61,1.8e-05
62,1.8e-05
63,1.8e-05
64,1.9e-05
65,1.9e-05
66,1.8e-05
67,1.9e-05
68,2.2e-05
69,1.9e-05
70,2.1e-05
71,2.2e-05
72,2.2e-05
73,2.5e-05
74,2.2e-05
75,2.2e-05
76,2.3e-05
77,2.3e-05
78,2.3e-05
79,2.3e-05
80,2.3e-05
81,2.4e-05
82,2.5e-05
83,2.5e-05
84,2.6e-05
85,2.6e-05
86,2.6e-05
87,2.6e-05
88,2.5e-05
89,3.1e-05
90,3.3e-05
91,0.000131
92,2.7e-05
93,3.1e-05
94,2.7e-05
95,2.9e-05
96,2.9e-05
97,2.8e-05
98,3e-05
99,2.8e-05
100,3e-05
101,3e-05
102,3.1e-05
103,3.1e-05
104,3.3e-05
105,3.3e-05
106,3.2e-05
107,3.2e-05
108,3.4e-05
109,3.4e-05
110,3.4e-05
111,3.4e-05
112,3.6e-05
113,3.4e-05
114,3.4e-05
115,3.5e-05
116,3.5e-05
117,3.4e-05
118,3.3e-05
119,3.7e-05
120,3.8e-05
121,3.6e-05
122,3.9e-05
123,3.9e-05
124,3.9e-05
125,3.9e-05
126,3.7e-05
127,3.9e-05
128,3.8e-05
129,4.1e-05
130,4.1e-05
131,4e-05
132,4.1e-05
133,4e-05
134,4.1e-05
135,4.1e-05
136,4.2e-05
137,4.1e-05
138,4.4e-05
139,4.2e-05
140,4.6e-05
141,4.4e-05
142,4.2e-05
143,4.7e-05
144,4.6e-05
145,4.7e-05
146,4.7e-05
147,4.6e-05
148,4.6e-05
149,4.6e-05
150,4.9e-05
151,4.7e-05
152,4.7e-05
153,4.7e-05
154,4.9e-05
155,5e-05
156,5e-05
157,4.8e-05
158,5.1e-05
159,5.1e-05
160,4.9e-05
161,5.3e-05
162,5.1e-05
163,5e-05
164,5.1e-05
165,5.2e-05
166,5.4e-05
167,5.2e-05
168,5.3e-05
169,5.8e-05
170,5.4e-05
171,5.7e-05
172,5.4e-05
173,5.6e-05
174,5.7e-05
175,5.5e-05
176,5.7e-05
177,5.8e-05
178,5.8e-05
179,6e-05
180,5.7e-05
181,5.9e-05
182,5.8e-05
183,6e-05
184,6e-05
185,6e-05
186,6e-05
187,6.3e-05
188,6e-05
189,6.1e-05
190,6.2e-05
191,6.2e-05
192,6.3e-05
193,6.2e-05
194,6.3e-05
195,6.1e-05
196,6.4e-05
197,6.3e-05
198,6.2e-05
199,6.5e-05
200,7.6e-05
201,6.5e-05
202,6.4e-05
203,6.4e-05
204,6.5e-05
205,6.1e-05
206,0.00015
207,7.1e-05
208,7e-05
209,7.1e-05
210,7.4e-05
211,6.8e-05
212,7.2e-05
213,7.5e-05
214,7.1e-05
215,7e-05
216,7.2e-05
217,7.3e-05
218,7.2e-05
219,7.2e-05
220,7.5e-05
221,7.3e-05
222,7.5e-05
223,7.3e-05
224,7.5e-05
225,7.3e-05
226,7.8e-05
227,7.7e-05
228,7.5e-05
229,7.6e-05
230,7.4e-05
231,7.3e-05
232,8.3e-05
233,7.6e-05
234,7.6e-05
235,7.4e-05
236,7.8e-05
237,7.9e-05
238,7.9e-05
239,8e-05
240,7.7e-05
241,8.1e-05
242,7.7e-05
243,8.1e-05
244,8.1e-05
245,8e-05
246,8.2e-05
247,8.6e-05
248,8.2e-05
249,8.1e-05
250,8.4e-05
251,8.2e-05
252,8.5e-05
253,8.5e-05
254,8.4e-05
255,9e-05
256,8.9e-05
257,8.6e-05
258,8.5e-05
259,8.6e-05
260,8.6e-05
261,8.7e-05
262,8.9e-05
263,8.7e-05
264,8.7e-05
265,0.000192
266,9e-05
267,0.000154
268,9.2e-05
269,9.5e-05
270,9e-05
271,8.9e-05
272,9.4e-05
273,9.2e-05
274,9.7e-05
275,0.000134
276,0.000172
277,9.4e-05
278,0.000119
279,9e-05
280,9.2e-05
281,9e-05
282,9.8e-05
283,9.4e-05
284,9.3e-05
285,9.4e-05
286,9.7e-05
287,9.3e-05
288,9.7e-05
289,9.5e-05
290,9.6e-05
291,9.7e-05
292,9.7e-05
293,0.000101
294,9.5e-05
295,0.000101
296,9.8e-05
297,9.9e-05
298,0.000101
299,9.9e-05
300,0.000103
301,0.000102
302,0.000102
303,0.000101
304,9.9e-05
305,0.000103
306,0.000103
307,0.000102
308,0.000103
309,0.000103
310,0.000111
311,0.0001
312,0.000103
313,0.000105
314,0.000105
315,0.000108
316,0.000107
317,0.000104
318,0.000105
319,0.000107
320,0.000104
321,0.000104
322,0.000108
323,0.000113
324,0.000107
325,0.000107
326,0.000108
327,0.000106
328,0.000122
329,0.000112
330,0.00011
